0,1,2,3,4,5,6,7,8,9
99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
5.2,2.4,8.0,10.2,10.8,18.8,23.8,21.8,22.6,27.4
62.0,74.8,83.8,91.4,94.6,96.6,97.8,98.2,98.8,99.6
0.8,0.8,2.2,1.4,0.6,0.8,0.0,1.0,0.4,0.2
35.2,51.6,68.8,78.8,86.8,91.0,94.0,96.2,97.2,98.2
0.8,0.4,1.2,0.4,1.2,1.6,1.4,2.0,3.4,2.6
20.4,27.2,37.8,52.2,66.6,79.0,86.4,89.8,92.4,95.4
0.2,1.0,2.2,2.2,2.4,0.0,0.8,0.4,1.2,1.0
95.6,97.8,99.2,99.0,99.4,100.0,100.0,100.0,100.0,100.0
0.2,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.4
16.6,27.6,39.2,52.6,64.2,73.2,81.4,85.2,90.8,94.2
29.0,52.0,67.2,78.4,89.4,93.0,96.2,97.0,98.4,99.2
59.4,73.6,85.6,90.6,94.0,96.2,98.4,98.8,99.2,99.8
1.0,0.8,0.4,2.0,1.8,2.4,0.2,0.8,0.8,0.6
1.4,1.2,2.8,1.0,0.6,1.0,1.0,1.8,1.6,0.2
17.0,26.6,27.6,36.6,46.0,57.6,68.4,79.0,86.6,90.8
81.8,88.4,93.2,94.0,95.8,97.8,99.2,99.4,99.6,99.8
1.8,1.4,1.0,0.8,0.2,0.0,1.2,3.2,2.0,1.0
4.0,2.6,3.4,4.2,3.4,3.6,3.6,4.6,1.4,2.4
42.2,58.2,70.0,81.2,87.2,92.4,96.4,98.0,98.0,99.2
8.2,11.0,9.0,10.6,5.2,7.8,12.8,11.8,12.2,15.4
61.8,80.2,85.8,92.8,95.6,96.6,97.6,98.8,99.4,99.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.8,24.4,28.8,41.2,51.6,69.0,78.8,85.6,91.8,95.6
99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1.8,4.4,6.2,7.2,11.2,12.2,21.4,22.6,21.2,22.2
