0,1,2,3,4,5,6,7,8,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
98.4,99.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
6.8,10.6,8.2,10.0,11.0,10.6,14.0,11.0,15.8,20.0
36.0,54.8,65.4,78.0,88.0,92.2,95.2,97.2,98.6,99.6
94.6,96.8,99.2,99.6,99.8,99.8,100.0,100.0,100.0,100.0
95.6,97.8,99.0,99.2,99.4,100.0,100.0,100.0,100.0,100.0
0.8,1.8,1.6,1.6,0.8,1.4,1.6,1.6,0.4,0.4
0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0
57.4,76.0,84.0,91.0,95.6,96.8,98.0,99.2,99.8,100.0
12.4,18.4,35.8,45.6,57.8,71.8,79.2,88.4,93.0,96.0
81.4,87.6,91.2,94.4,97.0,97.0,98.6,97.6,98.4,98.6
0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.4
2.4,3.4,2.4,2.8,1.4,1.2,3.8,1.4,2.0,2.6
94.6,95.4,98.0,99.2,99.8,99.8,99.8,100.0,100.0,100.0
81.8,88.4,90.8,92.8,95.0,97.2,98.0,98.6,99.0,99.8
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2.0,1.4,3.4,2.4,0.8,1.4,2.4,1.0,0.2,0.8
95.0,97.4,99.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0
4.8,8.4,8.0,8.8,11.0,14.6,18.4,20.8,24.2,18.6
21.0,31.6,41.8,53.2,65.4,74.2,83.2,89.8,95.2,97.4
22.4,33.0,43.2,48.4,57.4,71.2,84.6,88.6,95.6,97.4
38.0,57.2,72.4,83.4,91.4,95.6,96.4,98.4,98.6,99.2
59.0,77.0,83.4,88.8,93.4,94.4,96.2,97.8,98.6,99.0
8.0,7.0,10.0,8.2,10.0,9.8,16.2,14.2,16.4,13.4
19.4,33.6,37.4,46.4,53.4,65.6,70.8,79.8,85.6,91.0
98.0,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
81.8,88.2,91.4,96.2,97.0,96.2,97.8,98.6,98.8,99.2
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
34.6,60.4,73.0,83.2,89.4,92.4,95.0,97.0,98.0,98.8
5.2,5.6,7.4,11.4,12.0,16.0,16.6,18.6,16.2,20.8
93.6,97.2,97.4,98.6,99.8,99.8,100.0,100.0,100.0,100.0
98.0,99.6,99.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0
81.6,87.2,93.6,94.0,96.2,97.2,98.4,99.4,99.8,99.8
0.0,1.0,1.4,0.6,1.6,0.8,2.0,1.4,0.6,0.2
1.4,3.6,2.8,1.6,2.0,1.2,1.2,1.0,3.4,1.8
45.6,63.0,75.6,83.6,90.6,95.6,97.6,98.4,99.6,99.8
0.8,0.6,0.0,3.0,1.0,3.4,1.4,1.2,0.2,1.4
15.0,25.6,30.4,41.8,55.6,67.6,77.0,84.4,89.2,93.4
37.0,57.6,69.0,82.6,90.0,94.8,97.2,98.8,99.0,99.4
0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0
22.4,31.0,39.8,54.0,63.8,70.6,80.8,87.2,93.0,96.6
98.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
60.8,77.6,84.4,90.0,93.4,96.2,97.0,97.8,97.8,99.2
27.6,44.6,65.8,74.8,85.4,92.4,96.2,97.2,97.8,98.4
7.6,8.4,11.8,14.8,19.4,26.0,21.6,25.0,27.8,24.6
0.4,1.8,0.6,0.6,1.6,1.0,2.0,2.6,1.6,1.8
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
61.4,79.4,88.6,94.0,95.4,96.2,98.0,99.8,99.8,99.8
98.2,99.8,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0
14.4,25.0,30.0,36.4,51.2,64.2,73.0,84.6,90.8,96.2
42.4,59.0,71.4,80.4,88.8,91.2,95.4,97.2,98.2,98.8
83.2,86.0,93.2,95.2,95.2,95.4,97.8,99.0,99.6,99.8
64.0,76.8,85.6,90.4,94.0,96.8,97.4,97.8,99.0,99.2
62.0,75.4,81.4,87.4,93.6,95.2,95.8,97.4,98.8,99.2
98.6,99.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.4,0.0,0.0
83.4,92.2,94.0,96.2,97.4,98.0,97.4,98.2,99.2,99.4
36.0,55.6,69.8,81.6,91.2,93.0,95.6,98.2,98.8,99.0
