0,1,2,3,4,5,6,7,8,9
93.0,96.2,98.4,99.0,99.2,99.6,99.6,99.6,99.6,100.0
0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.4,1.2,0.2
62.6,79.0,84.6,90.2,94.4,96.8,98.2,98.6,99.0,99.4
84.2,89.8,92.4,95.2,96.6,97.0,97.4,97.2,98.6,98.4
8.0,12.2,13.0,16.2,19.6,16.2,14.2,12.6,14.6,15.2
18.2,30.2,34.2,43.4,58.6,69.4,80.8,86.4,90.0,92.6
83.6,88.8,92.2,95.6,96.8,97.6,98.6,99.2,99.4,99.2
38.6,56.8,70.8,80.0,88.2,93.0,96.6,98.2,99.4,99.4
0.4,0.6,3.0,1.0,1.4,0.2,1.4,1.0,0.4,0.6
99.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.0,0.0,0.2,0.2,0.0,0.0,0.6,0.0,1.0,0.8
95.0,97.0,98.6,98.8,99.4,99.6,99.8,99.8,99.8,100.0
5.8,8.0,8.4,5.4,11.6,15.8,19.6,21.2,24.0,26.8
98.8,99.6,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0
6.6,8.8,11.6,11.0,12.6,13.8,16.2,15.8,24.4,22.0
5.4,3.8,7.4,7.8,8.0,7.8,8.0,9.0,7.4,7.2
58.6,73.2,81.4,88.4,91.8,95.8,98.0,98.8,99.6,99.8
34.8,55.6,70.6,84.0,91.4,94.6,97.0,97.8,99.2,99.8
94.2,97.6,98.6,99.0,99.2,99.8,100.0,100.0,100.0,100.0
18.8,28.2,40.4,49.8,59.0,72.8,78.8,85.6,89.6,94.8
98.8,99.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
35.4,53.8,68.0,78.6,87.4,91.6,94.2,95.0,96.6,98.4
93.0,96.0,99.0,99.2,99.6,99.6,99.6,100.0,100.0,100.0
11.8,19.8,29.8,40.2,46.6,60.6,72.0,78.6,83.4,92.6
98.4,99.4,99.8,99.8,100.0,100.0,100.0,100.0,100.0,100.0
98.8,99.4,99.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,1.2,1.8,1.0,0.6,1.8,0.8,0.8,0.4,0.0
2.0,1.4,1.0,1.2,3.2,4.6,4.8,4.6,2.8,2.6
63.4,74.2,81.6,88.8,93.4,96.0,96.8,98.2,98.4,98.6
94.2,96.6,97.8,98.8,99.4,100.0,100.0,100.0,100.0,100.0
99.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
83.2,86.8,90.4,92.2,95.6,96.8,97.2,98.0,98.6,99.2
