0,1,2,3,4,5,6,7,8,9
0.6,2.0,1.8,0.6,2.2,0.6,2.0,0.2,0.6,1.8
99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
83.0,89.0,92.0,96.6,97.8,98.4,98.2,98.4,98.0,98.8
94.4,96.8,98.2,99.0,99.6,99.8,99.8,100.0,100.0,100.0
38.2,52.0,63.2,76.0,83.6,90.6,93.4,97.2,98.6,99.4
0.6,0.6,1.6,2.4,3.8,5.2,5.4,5.0,4.0,4.0
20.6,31.0,40.4,48.4,57.4,69.0,80.4,87.6,91.8,96.4
63.2,77.8,85.4,92.2,94.8,95.8,96.6,98.6,99.2,99.6
19.8,34.8,46.6,51.8,62.8,75.2,82.2,87.6,92.6,95.2
94.6,98.0,98.2,99.6,100.0,100.0,100.0,100.0,100.0,100.0
36.6,53.4,68.8,82.2,87.8,92.4,95.6,97.8,98.8,99.8
96.4,97.0,97.8,99.2,99.4,99.6,99.4,99.6,100.0,100.0
7.4,4.4,4.2,10.6,10.4,16.2,14.6,9.6,12.2,14.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
61.2,75.4,85.8,93.2,95.8,97.4,98.0,98.8,99.0,99.4
96.0,97.6,98.4,99.2,99.0,99.6,99.6,100.0,100.0,100.0
37.8,59.6,69.6,81.0,86.2,91.2,94.8,96.8,98.4,98.8
15.8,27.0,38.4,50.2,64.2,69.6,74.0,80.6,89.8,92.6
2.6,3.4,0.6,0.0,1.6,1.6,0.8,2.4,1.6,1.4
5.4,6.8,9.8,15.8,17.6,17.4,19.8,22.4,26.0,33.2
10.0,9.4,8.0,9.0,8.2,12.8,14.2,12.0,17.2,21.0
18.2,33.4,41.0,54.6,64.4,74.8,85.0,88.6,93.4,95.2
18.0,29.8,30.6,37.4,51.8,55.0,67.6,76.2,88.0,90.8
98.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
25.6,28.0,43.8,54.8,68.2,82.8,89.8,93.2,95.6,97.0
94.2,97.2,98.8,99.2,99.6,100.0,100.0,100.0,100.0,100.0
0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.2
34.0,57.4,75.8,86.4,92.0,94.8,98.0,98.4,98.6,99.4
0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
36.0,51.8,67.0,80.4,87.2,90.0,94.6,96.2,97.6,98.2
92.8,95.8,97.6,98.8,99.6,99.8,99.8,100.0,100.0,100.0
95.6,98.0,99.4,99.6,99.6,99.8,100.0,100.0,100.0,100.0
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.6,35.6,46.0,55.0,68.6,77.6,86.0,92.2,95.6,97.6
95.8,97.2,98.8,98.6,99.2,99.6,99.6,99.8,99.8,100.0
94.6,97.6,99.0,99.6,99.6,100.0,100.0,100.0,100.0,100.0
3.6,6.0,10.0,11.6,8.6,8.0,11.0,14.2,12.6,14.4
95.0,96.8,98.0,98.8,99.4,99.8,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2.8,4.0,8.2,5.2,5.4,6.2,6.4,7.2,7.2,4.4
1.0,2.2,1.0,0.4,2.8,1.4,2.0,1.6,7.6,3.4
39.0,52.4,66.8,75.6,85.2,91.4,94.2,96.8,97.6,98.6
62.6,75.4,85.8,91.2,96.0,96.4,98.6,99.0,99.6,99.6
80.8,87.2,91.8,93.8,96.2,97.4,97.2,98.4,97.8,97.8
82.2,87.2,89.0,92.8,95.6,98.2,98.0,100.0,100.0,100.0
96.4,99.2,99.4,99.6,100.0,100.0,100.0,100.0,100.0,100.0
41.6,58.6,72.0,82.4,91.4,94.6,97.8,98.6,99.8,100.0
98.6,99.6,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1.6,0.4,0.4,0.0,0.4,0.2,1.0,0.8,0.2,0.2
1.2,0.8,0.2,2.6,1.0,2.8,0.6,0.4,0.6,3.4
64.4,78.0,85.6,92.2,93.4,96.8,97.0,97.6,98.4,99.4
99.2,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
98.6,99.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
63.6,73.2,83.4,89.6,93.6,96.6,97.8,98.4,98.6,99.2
65.4,78.0,86.8,90.8,94.8,97.4,98.4,99.2,99.4,99.4
93.8,98.2,98.8,99.2,98.6,98.6,98.4,99.0,99.8,100.0
82.4,90.6,92.6,94.4,96.8,97.2,97.8,98.8,99.2,99.6
4.0,8.2,7.6,7.8,7.6,7.8,10.0,10.2,16.8,14.8
60.8,73.0,82.6,90.8,95.0,97.0,98.4,99.4,99.8,100.0
20.2,29.8,43.0,53.0,65.6,73.0,82.6,88.8,94.4,96.8
38.4,60.6,70.4,82.0,89.8,93.0,96.0,97.6,98.0,98.6
99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
62.4,75.4,85.4,88.8,93.4,96.0,97.6,98.8,99.2,100.0
0.4,0.2,0.6,1.8,1.6,1.0,2.4,1.0,0.8,3.8
99.0,99.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
92.0,95.0,98.0,98.8,99.6,99.8,99.8,100.0,100.0,100.0
98.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
60.0,77.2,85.6,91.2,95.4,97.4,97.8,98.8,99.4,99.8
42.4,51.2,69.8,81.4,88.2,92.2,95.2,97.4,98.4,98.8
82.2,87.0,92.0,94.2,96.2,97.2,96.8,97.8,99.0,99.2
0.2,0.4,1.2,1.6,2.4,3.2,1.6,1.2,1.8,1.0
0.2,2.4,2.6,0.6,1.0,1.0,0.2,1.2,2.4,1.4
98.6,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3.2,6.4,6.8,4.4,15.2,14.2,16.2,19.0,19.2,21.0
83.8,88.0,92.2,94.8,96.6,98.0,98.2,99.2,99.6,99.8
62.0,78.6,87.6,91.4,95.0,96.8,98.0,99.0,99.0,99.6
94.2,98.0,97.6,99.0,99.0,98.8,99.2,99.8,100.0,100.0
95.8,98.0,98.4,99.4,100.0,100.0,100.0,100.0,100.0,100.0
1.6,1.6,0.8,0.8,0.4,0.0,1.0,2.2,2.4,0.4
8.6,10.0,10.6,13.4,15.6,20.2,24.6,24.8,31.2,36.0
98.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
95.2,98.0,98.6,98.8,99.4,99.4,99.6,99.8,100.0,100.0
0.0,2.6,1.8,3.6,2.2,3.6,2.0,2.4,1.0,1.2
4.0,5.2,4.0,4.2,7.6,2.8,9.0,17.0,15.2,14.4
60.6,77.0,85.2,89.2,94.0,96.6,98.2,97.6,99.0,99.8
60.6,75.6,83.6,88.2,93.4,95.4,96.6,97.2,99.0,99.4
1.2,1.2,0.0,1.2,0.8,0.4,0.8,1.8,0.8,0.2
2.2,4.4,0.6,0.8,0.4,0.6,2.0,2.2,1.4,0.8
60.6,79.4,87.6,92.6,96.4,98.2,99.2,99.6,99.4,99.8
83.6,88.4,90.8,94.2,94.4,96.6,97.8,99.0,98.4,99.4
33.4,57.0,72.8,80.6,87.6,90.8,94.6,96.6,97.6,99.2
95.0,97.4,98.6,99.4,99.6,99.6,99.8,99.8,100.0,100.0
25.6,30.0,37.6,44.0,56.4,62.4,69.2,78.4,84.2,85.6
42.2,60.6,77.2,86.6,93.0,95.4,97.4,98.6,99.0,99.2
62.4,77.4,86.2,92.2,95.8,97.0,98.4,98.6,98.8,99.6
80.8,87.2,90.8,92.8,95.0,96.8,98.6,99.6,100.0,100.0
0.0,0.4,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.2
84.8,86.4,90.0,94.0,95.4,95.8,97.6,98.2,99.4,99.8
43.4,64.0,76.4,85.6,92.0,95.2,97.8,98.4,99.0,99.6
