0,1,2,3,4,5,6,7,8,9
5.6,4.8,4.0,10.2,11.2,8.6,10.4,10.2,10.6,10.2
17.4,29.8,36.4,48.0,59.2,77.6,84.8,91.0,94.2,97.4
99.0,99.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
66.0,78.2,86.8,90.6,94.6,97.4,98.4,98.2,99.0,99.0
18.4,28.8,37.8,48.0,61.8,66.2,76.8,87.0,88.4,92.0
35.0,54.6,75.4,88.0,92.8,95.6,98.4,98.6,99.2,99.6
30.8,50.6,63.8,76.0,86.0,90.6,94.0,96.8,98.2,98.4
17.0,31.6,45.4,50.6,61.6,72.4,82.6,85.8,91.8,95.6
92.8,96.2,97.2,98.0,98.2,99.4,99.8,100.0,100.0,100.0
99.0,99.8,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0
96.2,98.0,98.4,98.4,99.4,99.6,99.8,99.8,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
94.8,96.8,98.0,98.8,99.6,100.0,100.0,100.0,100.0,100.0
37.8,54.2,68.2,77.2,87.0,92.2,95.2,97.6,98.8,99.2
83.4,90.8,94.2,95.8,97.4,98.6,99.0,99.8,100.0,100.0
0.0,0.6,0.0,0.6,0.0,0.0,0.8,0.2,0.6,0.0
81.2,88.2,91.8,95.8,97.8,98.4,98.8,98.8,99.0,99.8
99.6,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
11.6,21.8,34.0,43.0,53.6,62.8,72.2,82.4,87.8,93.6
99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
13.8,18.6,31.6,39.8,44.6,57.6,73.6,80.2,85.2,91.2
1.4,1.6,1.2,1.0,1.0,0.8,0.6,0.0,1.4,0.8
34.8,60.4,71.6,80.0,88.8,92.6,95.8,97.8,99.0,99.2
99.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
13.2,20.0,32.0,36.0,41.4,62.2,73.0,80.2,83.0,86.4
0.6,0.2,0.0,0.0,1.0,0.0,0.0,0.2,0.2,0.0
0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.0
14.8,23.4,37.4,40.6,51.0,55.8,67.2,75.0,83.2,90.0
13.8,23.8,30.8,41.2,52.8,62.8,70.2,81.4,87.8,93.0
21.2,27.2,32.8,43.2,52.6,61.6,66.6,77.8,83.4,89.2
3.4,9.4,13.0,12.6,11.4,18.0,23.4,26.8,18.2,19.4
5.8,11.0,10.4,13.4,13.4,9.8,13.2,11.4,15.0,18.8
98.8,99.6,99.6,99.8,100.0,100.0,100.0,100.0,100.0,100.0
0.4,2.0,1.2,1.0,1.2,0.6,1.2,1.4,0.6,1.6
0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.0
3.8,6.0,6.0,4.0,5.4,9.4,7.0,10.6,10.0,12.8
0.0,0.0,0.0,0.8,0.0,0.6,0.0,0.2,0.0,0.0
82.6,87.8,90.6,93.2,94.6,96.8,97.4,98.0,99.2,99.8
94.0,97.6,98.2,98.4,98.4,99.0,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
99.4,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
33.4,51.0,65.4,75.4,85.4,89.6,93.0,95.4,97.2,98.4
98.4,99.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
99.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1.4,2.6,0.0,1.6,3.8,5.6,5.2,2.0,0.4,0.2
98.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
