0,1,2,3,4,5,6,7,8,9
60.8,82.0,88.6,90.4,94.8,96.8,97.8,98.8,99.2,99.6
0.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.4,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0
0.0,0.2,0.0,0.2,0.0,0.2,0.2,0.2,1.0,0.0
95.2,97.0,97.8,99.2,99.4,99.4,99.6,99.8,100.0,100.0
59.6,77.2,86.4,91.4,93.2,94.0,96.4,96.6,97.6,98.8
37.4,63.0,76.4,83.8,90.0,93.8,95.0,97.2,99.0,100.0
98.2,99.0,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.0,0.4,0.2
25.2,31.4,44.6,58.2,68.4,75.4,83.4,89.2,93.6,97.0
84.0,91.0,92.2,92.6,95.0,96.4,98.8,99.4,99.4,99.4
0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2
95.0,99.2,99.0,98.6,99.6,99.8,100.0,100.0,100.0,100.0
35.0,52.2,68.6,80.0,88.4,94.0,96.8,98.8,99.2,99.6
42.4,58.2,73.6,85.2,91.8,96.4,97.0,98.2,99.2,99.8
85.6,88.2,89.6,93.6,95.0,96.8,97.6,98.2,98.2,99.2
34.8,51.4,65.0,77.4,84.8,89.0,94.2,95.4,97.6,99.0
98.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
94.6,96.6,97.8,99.2,100.0,100.0,100.0,100.0,100.0,100.0
0.4,3.0,1.6,1.4,2.0,2.6,0.0,1.2,1.6,0.6
3.0,8.2,8.8,9.0,9.6,11.4,17.4,18.2,20.0,22.0
98.6,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
0.4,0.6,1.4,1.8,0.6,2.0,0.6,0.6,0.6,1.2
3.4,7.2,18.6,17.0,19.2,17.8,18.0,17.2,18.8,20.6
61.6,76.2,85.0,90.0,93.4,95.6,95.8,98.0,97.8,98.6
93.8,96.2,98.2,99.6,100.0,100.0,100.0,100.0,100.0,100.0
6.2,8.0,4.4,7.2,9.0,14.2,17.0,13.2,10.6,20.0
81.8,90.6,93.4,93.6,96.2,97.0,98.2,97.6,98.6,99.0
34.8,58.8,74.8,83.0,89.6,95.4,97.0,98.4,99.0,99.6
32.4,52.4,70.6,82.0,91.2,93.8,94.0,95.0,97.0,98.6
20.8,26.6,33.2,42.2,50.8,63.8,74.2,80.0,86.2,93.4
0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
44.8,64.4,76.0,83.2,90.0,94.8,97.0,97.8,98.4,99.0
3.2,0.6,1.8,0.4,0.6,1.2,0.0,0.4,2.0,0.0
99.8,99.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2
31.8,53.8,71.0,80.6,86.0,92.2,93.8,96.2,98.4,99.0
1.0,1.2,0.4,0.6,0.6,5.6,1.4,1.6,0.2,0.8
1.4,0.8,1.6,3.2,3.6,2.8,1.2,3.0,2.0,0.8
2.6,2.0,0.8,1.2,2.6,1.2,1.0,0.4,1.6,0.0
99.0,99.6,99.8,99.8,100.0,100.0,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
33.4,49.6,68.0,80.8,87.2,93.0,94.4,96.4,98.4,99.2
81.0,89.4,92.2,94.8,96.0,97.0,98.0,99.2,99.6,99.6
4.0,10.4,14.0,16.2,15.4,17.2,22.2,20.2,22.2,28.4
63.4,74.2,85.2,89.6,94.0,96.2,97.4,98.4,98.8,99.0
98.8,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
57.0,74.0,82.8,90.0,91.2,94.0,95.4,96.4,97.4,98.0
22.0,33.0,41.0,55.2,64.8,73.4,80.6,84.4,91.2,94.6
35.0,53.4,63.4,78.6,86.4,90.8,94.4,97.4,98.6,99.4
60.2,75.8,85.8,91.4,95.8,97.6,98.8,99.0,99.0,98.8
1.0,1.6,0.8,1.0,2.6,1.8,0.4,1.8,0.6,1.0
84.6,87.8,90.4,93.8,95.2,96.0,98.8,99.4,99.8,100.0
37.0,59.0,74.8,85.8,91.6,95.8,97.6,98.8,99.6,99.8
97.8,99.8,99.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0
98.4,99.4,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0
36.4,59.4,67.6,79.2,88.6,93.2,96.8,97.4,98.4,98.4
82.6,88.4,92.8,94.4,97.6,98.0,99.0,99.0,99.4,99.8
34.4,54.2,70.4,80.8,87.6,92.2,95.0,97.4,98.2,98.6
10.6,12.2,10.6,10.0,15.2,11.6,14.8,15.0,14.2,16.0
41.8,62.0,75.0,85.2,90.8,92.8,95.4,97.8,97.4,98.6
81.6,88.8,92.2,94.2,96.2,96.8,98.4,98.4,98.6,99.6
63.4,79.8,86.6,92.2,96.4,97.8,99.0,99.4,99.6,99.6
14.8,24.8,39.4,46.0,58.2,67.6,76.6,84.2,89.8,93.8
0.2,4.4,1.6,2.2,2.0,0.4,4.4,1.2,0.8,0.6
1.0,0.2,0.8,1.2,1.2,1.0,0.4,0.8,3.2,2.2
98.6,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
94.4,96.6,97.8,97.6,99.0,99.8,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
60.6,75.2,83.8,89.6,93.8,96.0,98.4,98.4,99.0,99.6
93.8,97.4,97.6,99.0,99.6,100.0,100.0,100.0,100.0,100.0
3.2,8.6,8.0,7.0,11.2,11.2,14.4,13.4,11.0,15.0
99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2
94.2,97.0,98.8,98.8,99.4,99.8,100.0,100.0,100.0,100.0
24.0,30.6,36.0,47.6,59.0,66.6,76.4,85.0,89.4,93.0
32.8,52.2,70.2,80.4,87.8,93.0,97.2,98.0,98.8,99.6
84.6,87.8,92.0,93.0,93.6,95.6,96.8,99.0,99.0,99.6
0.8,1.4,2.4,3.0,2.4,4.4,0.4,0.0,1.8,1.2
0.0,0.8,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0
93.4,96.0,97.4,99.2,99.6,99.4,99.4,99.6,99.6,99.4
59.8,75.0,84.4,90.8,94.6,97.2,97.8,98.2,98.4,99.6
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
5.2,7.6,12.0,14.0,13.2,16.8,21.8,19.2,20.0,23.4
82.6,86.8,91.8,94.4,95.8,98.0,98.4,98.6,99.2,98.8
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
98.8,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
95.0,98.8,98.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0
