0,1,2,3,4,5,6,7,8,9
99.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1.8,1.2,1.6,2.2,3.2,1.2,1.8,2.4,1.6,2.4
0.8,0.4,0.6,0.4,0.8,0.4,4.8,2.4,0.8,0.8
84.0,89.2,91.2,94.2,95.0,97.4,98.0,97.6,97.6,97.6
17.4,30.4,38.0,48.6,66.2,76.0,83.0,90.4,94.4,97.4
98.2,99.2,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0
83.8,87.4,91.4,93.2,95.0,95.0,96.8,98.0,98.4,99.2
8.6,8.2,11.0,22.8,26.0,24.4,29.4,36.0,31.6,33.6
35.2,59.2,72.6,82.8,87.6,91.8,95.8,97.6,98.6,98.8
64.6,79.0,86.8,89.6,95.4,97.2,98.8,99.4,99.8,100.0
62.8,77.2,85.4,89.6,93.4,94.6,95.4,96.4,98.8,99.0
99.0,99.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
9.2,12.8,11.8,20.0,16.4,23.0,31.6,29.4,26.4,29.2
37.6,60.4,72.2,83.6,90.0,94.4,95.8,97.6,98.2,99.4
98.8,99.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
63.2,77.8,86.6,91.8,93.2,96.0,97.2,98.4,99.2,100.0
0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0
3.6,8.4,8.0,10.0,12.4,21.4,23.6,25.0,28.0,30.0
1.2,1.2,0.2,2.4,0.0,0.0,0.2,0.6,0.8,0.6
13.6,23.8,34.2,39.2,50.2,59.4,69.2,76.4,83.0,87.8
99.8,99.8,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0
60.4,78.4,85.6,90.8,94.4,97.4,97.2,98.6,98.8,99.6
84.2,88.8,93.2,96.4,97.6,97.6,98.0,98.2,98.2,99.0
62.2,75.4,85.8,87.0,91.4,95.6,96.6,98.2,98.6,99.0
58.8,77.4,85.6,89.8,95.4,97.4,99.2,100.0,100.0,100.0
12.6,25.0,34.2,45.2,53.6,63.8,70.6,80.0,84.6,91.0
