0,1,2,3,4,5,6,7,8,9
0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
82.2,87.8,91.2,94.2,95.6,96.4,97.6,99.0,99.6,99.8
3.2,15.0,12.2,10.0,10.4,13.4,13.6,21.4,20.4,18.8
99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
7.6,16.0,13.0,8.4,5.2,4.8,9.0,9.8,10.2,10.6
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
81.8,87.6,91.8,94.4,96.0,96.6,98.0,98.6,99.4,99.6
62.4,73.2,85.6,92.0,94.6,97.6,99.4,99.4,99.6,100.0
39.8,57.0,74.8,88.0,93.0,95.6,96.8,97.8,98.6,99.4
99.0,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
98.6,99.4,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0
10.6,21.2,30.4,43.0,56.6,65.0,79.2,85.8,92.0,95.2
17.6,31.0,33.6,42.8,51.6,57.6,67.2,75.0,87.6,91.6
99.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
11.8,9.8,12.6,11.8,17.2,16.0,13.2,13.8,18.0,21.6
83.2,88.6,92.6,96.0,97.6,98.4,97.8,98.8,99.6,99.6
2.4,6.0,9.0,7.8,3.8,11.8,12.4,10.0,12.0,10.6
83.8,89.0,93.4,94.6,97.2,98.0,98.4,99.2,99.6,99.6
15.8,22.6,37.2,46.2,55.4,66.2,79.0,86.0,89.0,93.6
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1.2,0.6,0.8,0.2,0.6,0.2,0.0,3.2,0.4,2.8
93.6,95.6,98.2,98.6,99.2,99.4,99.2,99.8,99.8,99.6
3.6,6.6,7.6,12.0,10.8,8.6,6.4,9.4,15.4,16.0
60.8,75.2,85.4,90.8,94.2,95.6,98.0,99.4,99.8,99.8
80.6,88.8,92.6,94.6,96.8,97.2,98.2,98.8,99.2,99.4
94.6,97.4,98.8,99.2,99.8,100.0,100.0,100.0,100.0,100.0
37.0,48.4,63.6,75.6,88.2,94.2,96.6,98.8,99.4,99.8
5.8,8.2,8.2,15.2,16.0,14.8,19.0,16.6,18.6,19.4
3.2,0.0,0.8,0.6,1.4,0.4,1.8,0.6,1.2,1.2
84.6,89.0,91.6,94.0,97.0,97.6,97.8,97.6,98.2,98.6
36.8,54.4,69.6,80.2,88.6,94.4,97.0,97.6,99.2,99.8
66.4,79.6,87.2,90.8,95.2,96.4,96.6,98.0,99.0,99.8
42.2,59.2,71.8,83.8,92.2,96.0,96.8,98.4,98.8,99.2
59.0,77.8,85.6,90.6,95.2,97.6,98.2,98.8,99.2,99.4
99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
18.8,26.6,36.4,45.6,58.6,68.2,77.6,86.2,90.2,94.6
12.6,28.0,41.2,53.6,61.0,75.0,85.4,92.2,95.2,97.6
64.4,77.6,85.8,91.0,94.8,97.4,98.8,99.0,99.2,99.6
2.0,2.6,1.2,0.0,0.6,1.0,0.0,0.8,3.0,1.0
99.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
83.4,86.4,90.8,92.4,92.2,94.8,96.0,97.8,99.2,99.6
16.6,27.0,39.8,49.2,59.0,70.8,78.0,85.2,92.0,94.2
83.4,88.2,90.0,92.6,95.6,97.4,97.6,98.2,98.6,98.6
98.8,98.8,99.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.2
61.0,76.0,84.8,90.6,93.8,96.0,98.6,98.8,99.4,99.4
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
98.8,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
